edge_id,subject,subject_type,subject_subset,predicate,biolink_predicate,object,object_type,object_subset,pmid,trial,year,confidence,confidence_rationale,effect_size,p_value,direction,temporal_context
low_tidal_volume_ven__treats__acute_respiratory_di__10793162,Low tidal volume ventilation,biolink:Treatment,POI_intervention,poi:treats,biolink:treats,Acute respiratory distress syndrome,biolink:Disease,POI_disease,10793162,ARMA,2000,0.99,"Large RCT n=861, stopped early efficacy, P=0.007, replicated globally, 25yr standard of care",ARD -8.8%,,BENEFICIAL,
low_tidal_volume_ven__hasClinicalOutcome__28_day_all_cause_mor__10793162,Low tidal volume ventilation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,28-day all-cause mortality,biolink:ClinicalFinding,POI_outcome,10793162,ARMA,2000,0.99,"Primary endpoint, P=0.007, effect confirmed in meta-analyses",31.0% vs 39.8%,,BENEFICIAL,
prone_positioning__treats__severe_ards_context___23688302,Prone positioning,biolink:Treatment,POI_intervention,poi:treats,biolink:treats,Severe ARDS context PaO2/FiO2 <150,biolink:Disease,POI_disease,23688302,PROSEVA,2013,0.99,"Large RCT n=466, P<0.001, HR 0.39, not stopped early, strongest mortality signal in ARDS",ARD -16.8%,,BENEFICIAL,
prone_positioning__hasClinicalOutcome__28_day_all_cause_mor__23688302,Prone positioning,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,28-day all-cause mortality,biolink:ClinicalFinding,POI_outcome,23688302|19903918,PROSEVA,2013,0.99,"Primary endpoint, P<0.001, prespecified, replicated in meta-analyses",HR 0.39 (0.25-0.63),,BENEFICIAL,
prone_positioning__requiresClinicalContext__severe_ards_context___23688302,Prone positioning,biolink:Treatment,POI_intervention,poi:requiresClinicalContext,biolink:occurs_in,Severe ARDS context PaO2/FiO2 <150,biolink:InformationContentEntity,POI_context,23688302,PROSEVA,2013,0.99,Context mandatory: benefit only shown in PaO2/FiO2 <150 with PEEP>=5,,,BENEFICIAL,
hyperinflammatory_ar__hasBiomarker__interleukin_6__33253239,Hyperinflammatory ARDS subphenotype,biolink:Disease,POI_disease,poi:hasBiomarker,biolink:has_biomarker,Interleukin-6,biolink:Biomarker,POI_biomarker,33253239,Calfee2021,2021,0.95,Core classifier variable in parsimonious 3-variable model; AUC 0.94,elevated,,BENEFICIAL,
hyperinflammatory_ar__hasBiomarker__plasminogen_activato__33253239,Hyperinflammatory ARDS subphenotype,biolink:Disease,POI_disease,poi:hasBiomarker,biolink:has_biomarker,Plasminogen activator inhibitor-1,biolink:Biomarker,POI_biomarker,33253239,Calfee2021,2021,0.95,"PAI-1 elevated in hyperinflammatory; procoagulant state marker; validated in ALVEOLI, FACTT",elevated,,BENEFICIAL,
individualized_ola__treats__one_lung_ventilation__38065200,Individualized OLA,biolink:Treatment,POI_intervention,poi:treats,biolink:treats,One-lung ventilation surgical context,biolink:InformationContentEntity,POI_context,38065200,iPROVE-OLV,2023,0.93,"Large RCT n=1308, P<0.001, NNT=11, multi-component but strong signal",RR 0.39 (0.28-0.56),,BENEFICIAL,
aggressive_recruitme__causesAdverseOutcome__28_day_all_cause_mor__28973363,Aggressive recruitment maneuver strategy,biolink:Treatment,POI_intervention,poi:causesAdverseOutcome,biolink:causes_adverse_event,28-day all-cause mortality,biolink:ClinicalFinding,POI_outcome,28973363,ART,2017,0.92,"Largest RCT on recruitment n=1010, P=0.041, definitive harm signal, 120 ICUs, 9 countries",HR 1.20 (1.01-1.42),,HARMFUL,
aggressive_recruitme__causesAdverseOutcome__barotrauma__28973363,Aggressive recruitment maneuver strategy,biolink:Treatment,POI_intervention,poi:causesAdverseOutcome,biolink:causes_adverse_event,Barotrauma,biolink:ClinicalFinding,POI_outcome,28973363,ART,2017,0.92,"Secondary endpoint, P=0.001, mechanistically plausible, consistent with harm signal",5.6% vs 1.6%,,HARMFUL,
