poi_id:ID,id_slug,label,subset:LABEL,parent,definition,synonym,xref_DOID,xref_MESH,xref_UMLS,source,source_pmids,n_sources:int,xref_CHEBI,xref_GO,xref_MONDO,normalized_label,original_label,norm_method,norm_confidence,synonyms,hitl_split_flag,hitl_members
ARDS_POI:01001,dependent-lung-atelectasis-olv-specific,Dependent Lung Atelectasis (Olv Specific),POI_mechanism,biological-process,,,DOID:9956,D001261,C0004144,mechanism_node,38065200,1,,GO:0097553,,Atelectasis,Dependent Lung Atelectasis (Olv Specific),rule,HIGH,,,
ARDS_POI:01002,gravity-induced-alveolar-compression,Gravity Induced Alveolar Compression,POI_mechanism,biological-process,,,,,,mechanism_node,7633703|9817720|16618955|12574072|38065200|32479829,6,,GO:0097553,,Gravity-dependent alveolar compression,Gravity Induced Alveolar Compression,rule,HIGH,,,
ARDS_POI:01003,optimal-alveolar-recruitment-pressure,Optimal Alveolar Recruitment Pressure,POI_mechanism,biological-process,,,,D000072601,,mechanism_node,7633703|9817720|16618955|11967593|12574072|38065200|19910610|32479829|32697482,9,,GO:0045087,,Alveolar recruitment,Optimal Alveolar Recruitment Pressure,rule,HIGH,,,
ARDS_POI:01004,respiratory-system-compliance-optimisation,Respiratory System Compliance Optimisation,POI_mechanism,biological-process,,,,D012128,C0034096,mechanism_node,7633703|16618955|17167013|12574072|38065200|32479829|32697482,7,,,,Respiratory system compliance,Respiratory System Compliance Optimisation,rule,HIGH,,,
ARDS_POI:01005,postoperative-diaphragmatic-dysfunction,Postoperative Diaphragmatic Dysfunction,POI_mechanism,biological-process,,,,D004079,,mechanism_node,32479829|12574072|38065200|16618955,4,,,,Diaphragmatic dysfunction,Postoperative Diaphragmatic Dysfunction,rule,HIGH,,,
ARDS_POI:01006,dexamethasone-treatment-for-hospitalized-covid-19,dexamethasone treatment for hospitalized COVID-19,POI_intervention,glucocorticoid-drug-therapy,Systemic glucocorticoid therapy (dexamethasone 6 mg once daily for up to 10 days) for patients hospitalized with COVID-19.,,DOID:0080600,D059495,C5203912,robot_template_row,32678530,1,CHEBI:41879,,,Dexamethasone,dexamethasone treatment for hospitalized COVID-19,rule,HIGH,,,
ARDS_POI:01010,protective-mechanical-ventilation,Protective mechanical ventilation,POI_intervention,lung-protective-ventilation-strategy,"Mechanical ventilation strategy designed to minimize alveolar injury from cyclic collapse/reopening and overdistention, involving higher PEEP, lower tidal volumes, and pressure-limited modes.",,DOID:11394,D012128,C0035222,robot_template_row,9449727,1,CHEBI:5217,GO:0007588,,Mechanical ventilation,Protective mechanical ventilation,rule,HIGH,,,
ARDS_POI:01020,conservative-fluid-management-strategy,Conservative fluid management strategy,POI_intervention,fluid-management-strategy,Conservative fluid management strategy applied for 7 days in patients with acute lung injury.,,DOID:11394,D012128,C0035222,robot_template_row,16714767,1,,,,Fluid management,Conservative fluid management strategy,claude_api,MEDIUM,,,
ARDS_POI:01027,diuresis,Diuresis,POI_intervention,biological-process,,,,http://purl.bioontology.org/ontology/MESH/D004231,C0012633,mechanism_node,16714767,1,,GO:0035810,,Diuresis,Diuresis,claude_api,HIGH,,,
ARDS_POI:01028,fluid-restriction,Fluid Restriction,POI_intervention,biological-process,,,,D005440,C0016697,mechanism_node,16714767,1,,,,Fluid Restriction,Fluid Restriction,claude_api,HIGH,,,
ARDS_POI:01029,lung-function-improvement,Lung Function Improvement,POI_mechanism,biological-process,,,,D008168,C0035245,mechanism_node,16714767,1,,GO:0007585,,Lung Function,Lung Function Improvement,claude_api,HIGH,,,
ARDS_POI:01030,extrapulmonary-organ-perfusion,Extrapulmonary Organ Perfusion,POI_mechanism,biological-process,,,,D010477,C0030317,mechanism_node,16714767,1,,GO:0015671,,Organ Perfusion,Extrapulmonary Organ Perfusion,claude_api,MEDIUM,,,
ARDS_POI:01031,extracorporeal-membrane-oxygenation-ecmo,Extracorporeal membrane oxygenation (ECMO),POI_intervention,extracorporeal-life-support,,,DOID:11394,D005033,C0015879,robot_template_row,9315812|19762075|34127027|25062496|23406535,5,,,,Extracorporeal membrane oxygenation,Extracorporeal membrane oxygenation (ECMO),rule,HIGH,,,
ARDS_POI:01324,anakinra-early-treatment-of-covid-19,Anakinra early treatment of COVID-19,POI_disease,IL-1-antagonist-therapy,"Early treatment with anakinra, an IL-1α/β inhibitor, in COVID-19 patients at risk of progressing to respiratory failure as identified by elevated plasma suPAR levels.",,DOID:0080600,D000086382,C5203912,robot_template_row,34480127,1,,,MONDO:0100096,COVID-19,Anakinra early treatment of COVID-19,rule,HIGH,,,
ARDS_POI:01043,delirium-duration,Delirium duration,POI_disease,disease-risk-factor,"Duration of delirium during critical illness, associated with long-term cognitive and executive function impairment.",,DOID:4168,D003702,C0011573,robot_template_row,24088092,1,,,MONDO:0045057,Delirium,Delirium duration,claude_api,MEDIUM,,,
ARDS_POI:01047,higher-peep-levels,Higher PEEP levels,POI_intervention,lung-protective-ventilation-strategy,Mechanical ventilation with higher positive end-expiratory pressure (PEEP) levels in patients with acute lung injury and ARDS.,,DOID:11394,D012128,C0035222,robot_template_row,15269312,1,,,,Positive end-expiratory pressure,Higher PEEP levels,rule,HIGH,,,
ARDS_POI:01059,lung-ultrasound-for-acute-respiratory-failure-diagnosis,lung ultrasound for acute respiratory failure diagnosis,POI_intervention,diagnostic-imaging-technique,"Systematic lung ultrasound assessment including artifacts, lung sliding, consolidation, and pleural effusion to differentiate causes of acute respiratory failure.",BLUE protocol,DOID:11394,D012128,C0035222,robot_template_row,18403664,1,,,,Lung ultrasound,lung ultrasound for acute respiratory failure diagnosis,claude_api,HIGH,,,
ARDS_POI:01066,lung-protective-ventilation-strategy,Lung-protective ventilation strategy,POI_intervention,ventilation-strategy,"Ventilation strategy to minimize alveolar recruitment/derecruitment and overdistention, thereby reducing ventilation-induced pulmonary and systemic cytokine response.",,DOID:11394,D012128,C0035222,robot_template_row,23902482|10404912,2,,,,Low tidal volume ventilation,Lung-protective ventilation strategy,rule,HIGH,,,
ARDS_POI:01077,once-daily-spontaneous-breathing-trial,once-daily spontaneous breathing trial,POI_intervention,weaning-from-mechanical-ventilation,"Ventilator weaning using a single daily trial of spontaneous breathing, rather than multiple or continuous trials.",,,D011895,C0034063,robot_template_row,7823995,1,,,,spontaneous breathing trial,once-daily spontaneous breathing trial,claude_api,HIGH,,,
ARDS_POI:01084,ards-subphenotype-identification,ARDS subphenotype identification,POI_disease,disease-subphenotype-discovery,Latent class analysis to identify distinct subphenotypes within acute respiratory distress syndrome based on clinical and biological data.,,DOID:11394,D012128,C0035222,robot_template_row,24853585,1,,,MONDO:0100130,Acute respiratory distress syndrome,ARDS subphenotype identification,rule,HIGH,,,
ARDS_POI:01109,early-icu-mobility-therapy-protocol,Early ICU mobility therapy protocol,POI_intervention,physical-therapy-for-critical-illness,A protocol using an ICU mobility team to initiate physical therapy within 48 hours of mechanical ventilation for acute respiratory failure.,ICU mobility protocol,DOID:11394,D012128,C0035222,robot_template_row,18596631,1,,,,Early mobilization,Early ICU mobility therapy protocol,claude_api,HIGH,,,
ARDS_POI:01115,immobilization-weakness-critical-illness,Immobilization Weakness Critical Illness,POI_outcome,biological-process,,,DOID:0080203,D009135,C0410674,mechanism_node,18596631,1,,,,Critical Illness Myopathy,Immobilization Weakness Critical Illness,claude_api,MEDIUM,,,
ARDS_POI:01121,prone-positioning,prone positioning,POI_intervention,ventilation-strategy,Placing patients in a prone (face down) position for six or more hours daily for 10 days.,,DOID:11394,D012128,C0035222,robot_template_row,19903918|24102072|24435203|33823862|33464919|14668608|11529210,7,,,,Prone positioning,prone positioning,rule,HIGH,,,
ARDS_POI:01127,treatment-protocol-for-acute-chest-syndrome-in-sickle-cell-disease,Treatment protocol for acute chest syndrome in sickle cell disease,POI_intervention,sickle-cell-disease-management,"Treatment protocol including matched transfusions, bronchodilators, and bronchoscopy for acute chest syndrome in sickle cell disease.",,DOID:0050711,D056586,C0239952,robot_template_row,10861320,1,,,MONDO:0005632,acute chest syndrome,Treatment protocol for acute chest syndrome in sickle cell disease,claude_api,HIGH,,,
ARDS_POI:01136,non-invasive-ventilation,non-invasive ventilation,POI_intervention,ventilation-strategy,Non-invasive ventilation to improve survival and quality of life in patients with amyotrophic lateral sclerosis.,NIV,DOID:11110,D000690,C0023272,robot_template_row,19183949|16426990|21424246,3,,,,Non-invasive ventilation,non-invasive ventilation,rule,HIGH,,,
ARDS_POI:01149,restrictive-red-blood-cell-transfusion-strategy,Restrictive red blood cell transfusion strategy,POI_intervention,anemia-management-strategy,Maintain hematocrit ≥24% in patients undergoing cardiac surgery with cardiopulmonary bypass.,,DOID:650,D000740,C0001625,robot_template_row,20940381,1,,,,restrictive red blood cell transfusion,Restrictive red blood cell transfusion strategy,claude_api,HIGH,,,
